feature,importance,window_size
w10ms_spectral_rolloff_std,0.03535353535353536,10
w20ms_spectral_bandwidth_median,0.030303030303030307,20
w5ms_energy_trend,0.030303030303030307,5
w20ms_spectral_bandwidth_trend,0.02184121920964027,20
w20ms_spectral_flux_trend,0.020202020202020207,20
w10ms_spectral_flux_trend,0.020202020202020207,10
w5ms_spectral_flux_trend,0.020202020202020207,5
w5ms_zcr_skew,0.018518518518518517,5
w10ms_mean_amplitude_range,0.018474215842636896,10
w10ms_spectral_bandwidth_kurtosis,0.018122400475341655,10
w20ms_spectral_bandwidth_mean,0.015151515151515154,20
w10ms_local_jitter_range,0.01515151515151515,10
w10ms_spectral_bandwidth_range,0.01515151515151515,10
w10ms_spectral_centroid_skew,0.013468013468013467,10
w10ms_spectral_flux_range,0.013423710792131848,10
w10ms_energy_trend,0.013423710792131846,10
w5ms_amplitude_variability_kurtosis,0.013366422849181474,5
w10ms_spectral_centroid_kurtosis,0.01319315605029891,10
w5ms_skewness_kurtosis,0.010101010101010104,5
w5ms_kurtosis_trend,0.010101010101010104,5
w20ms_zcr_kurtosis,0.010101010101010104,20
w20ms_rms_std,0.010101010101010104,20
w20ms_spectral_bandwidth_kurtosis,0.010101010101010104,20
w20ms_local_jitter_range,0.010101010101010104,20
w5ms_rms_range,0.010101010101010104,5
w5ms_energy_skew,0.010101010101010104,5
w5ms_energy_range,0.010101010101010104,5
w5ms_mean_amplitude_kurtosis,0.010101010101010104,5
w20ms_energy_skew,0.010101010101010104,20
w5ms_spectral_centroid_skew,0.010101010101010104,5
w10ms_energy_range,0.010101010101010104,10
w5ms_spectral_bandwidth_min,0.010101010101010104,5
w5ms_spectral_bandwidth_median,0.010101010101010104,5
w10ms_spectral_flux_median,0.010101010101010104,10
w10ms_period_variability_min,0.0101010101010101,10
w5ms_skewness_skew,0.0101010101010101,5
w20ms_energy_median,0.0101010101010101,20
w10ms_spectral_bandwidth_std,0.0101010101010101,10
w20ms_spectral_bandwidth_std,0.008417508417508419,20
w10ms_spectral_bandwidth_skew,0.008417508417508419,10
w20ms_period_variability_skew,0.008417508417508419,20
w10ms_mean_amplitude_kurtosis,0.008417508417508417,10
w10ms_rms_max,0.008373205741626796,10
w5ms_mean_amplitude_max,0.008315917798676424,5
w20ms_std_amplitude_kurtosis,0.008315917798676423,20
w20ms_spectral_flux_median,0.008021390374331553,20
w10ms_std_amplitude_std,0.007130124777183599,10
w20ms_amplitude_variability_median,0.006835597352838732,20
w20ms_zcr_range,0.006835597352838732,20
w20ms_period_variability_min,0.006835597352838732,20
w5ms_spectral_bandwidth_kurtosis,0.006835597352838731,5
w20ms_spectral_rolloff_std,0.006778309409888358,20
w20ms_energy_trend,0.006778309409888358,20
w5ms_mean_amplitude_range,0.0067340067340067354,5
w10ms_amplitude_variability_std,0.006734006734006735,10
w20ms_spectral_rolloff_skew,0.006632416115174736,20
w20ms_period_variability_kurtosis,0.005294322535701846,20
w10ms_std_amplitude_max,0.005107792993455423,10
w20ms_std_amplitude_skew,0.005050505050505054,20
w10ms_zcr_max,0.005050505050505054,10
w5ms_spectral_rolloff_std,0.0050505050505050535,5
w20ms_local_jitter_median,0.0050505050505050535,20
w20ms_skewness_kurtosis,0.0050505050505050535,20
w10ms_mean_amplitude_median,0.005050505050505053,10
w20ms_local_shimmer_std,0.005050505050505052,20
