mean_amplitude,std_amplitude,max_amplitude,min_amplitude,rms_energy,zcr_mean,zcr_std,energy_mean,energy_std,energy_max,energy_min,signal_length,duration,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,mfcc_1_mean,mfcc_1_std,mfcc_1_max,mfcc_1_min,mfcc_2_mean,mfcc_2_std,mfcc_2_max,mfcc_2_min,mfcc_3_mean,mfcc_3_std,mfcc_3_max,mfcc_3_min,mfcc_4_mean,mfcc_4_std,mfcc_4_max,mfcc_4_min,mfcc_5_mean,mfcc_5_std,mfcc_5_max,mfcc_5_min,mfcc_6_mean,mfcc_6_std,mfcc_6_max,mfcc_6_min,mfcc_7_mean,mfcc_7_std,mfcc_7_max,mfcc_7_min,mfcc_8_mean,mfcc_8_std,mfcc_8_max,mfcc_8_min,mfcc_9_mean,mfcc_9_std,mfcc_9_max,mfcc_9_min,mfcc_10_mean,mfcc_10_std,mfcc_10_max,mfcc_10_min,mfcc_11_mean,mfcc_11_std,mfcc_11_max,mfcc_11_min,mfcc_12_mean,mfcc_12_std,mfcc_12_max,mfcc_12_min,mfcc_13_mean,mfcc_13_std,mfcc_13_max,mfcc_13_min,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta2_1_mean,mfcc_delta2_1_std,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta2_2_mean,mfcc_delta2_2_std,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta2_3_mean,mfcc_delta2_3_std,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta2_4_mean,mfcc_delta2_4_std,mfcc_delta_5_mean,mfcc_delta_5_std,mfcc_delta2_5_mean,mfcc_delta2_5_std,mfcc_delta_6_mean,mfcc_delta_6_std,mfcc_delta2_6_mean,mfcc_delta2_6_std,mfcc_delta_7_mean,mfcc_delta_7_std,mfcc_delta2_7_mean,mfcc_delta2_7_std,mfcc_delta_8_mean,mfcc_delta_8_std,mfcc_delta2_8_mean,mfcc_delta2_8_std,mfcc_delta_9_mean,mfcc_delta_9_std,mfcc_delta2_9_mean,mfcc_delta2_9_std,mfcc_delta_10_mean,mfcc_delta_10_std,mfcc_delta2_10_mean,mfcc_delta2_10_std,mfcc_delta_11_mean,mfcc_delta_11_std,mfcc_delta2_11_mean,mfcc_delta2_11_std,mfcc_delta_12_mean,mfcc_delta_12_std,mfcc_delta2_12_mean,mfcc_delta2_12_std,mfcc_delta_13_mean,mfcc_delta_13_std,mfcc_delta2_13_mean,mfcc_delta2_13_std,mel_mean,mel_std,mel_max,mel_min,chroma_mean,chroma_std,contrast_mean,contrast_std,tonnetz_mean,tonnetz_std,f0_mean,f0_std,f0_max,f0_min,f0_range,jitter_approx,voiced_ratio,hnr_approx,file_path,file_name,cohort,cohort_numeric
0.08514462,0.13048029,0.9000244,0.0,0.13048041,0.07842476338676671,0.010444876384598354,6.8146553,3.5585673,30.150085,0.17032054,375200,23.45,1247.807589378999,1536.1645131676814,2473.816631130064,0.28176576,-110.91732,30.805855,-10.713635,-263.32092,140.7339,13.296151,170.7136,108.21321,12.760769,6.153127,31.611198,-6.279974,0.49520463,7.4123945,24.635654,-20.801804,-27.487259,7.53103,8.083387,-50.498917,-18.167734,7.1550364,1.6033404,-36.25609,-0.02579514,7.251774,29.108494,-13.427695,-9.652354,4.904688,8.252005,-22.246063,-17.065414,6.2681575,-1.9909649,-38.821007,2.279702,5.4204154,24.31368,-14.708363,-4.596802,4.5691247,7.608303,-28.424128,3.2031736,5.009197,19.0728,-17.438154,-2.1880033,4.9886003,10.790577,-22.254257,0.13501972,4.240369,-0.08963483,2.539453,0.01630641,2.0608373,-0.02220578,1.6438841,-0.009221882,0.9759984,0.010213489,0.7368317,-0.019767506,1.1578305,0.018763574,0.83670455,-0.014577586,1.124324,0.026574438,0.89361846,0.008561876,0.99475604,0.002355988,0.71952903,-0.016416546,0.9265827,-0.029373819,0.7349981,0.006931915,0.68099827,-0.0056862747,0.48250142,-0.012251956,0.8138389,0.011301644,0.64748996,0.00067863456,0.79190797,-0.012188496,0.65098137,0.021247525,0.5980929,0.0028684714,0.45885837,0.020991962,0.7911668,-0.01877598,0.5582301,0.0073764836,0.61989313,-0.012097232,0.44173852,4.4225316,14.438155,421.50073,1.0556059e-05,0.3758761,0.2668535,15.953837597151564,4.578356781411285,0.1268155732032146,0.12234098349321723,119.11568371417069,19.250473741440093,131.25348322137722,65.92096371584711,65.33251950553012,0.18177803822210392,1.0,12.3641815,preprocessed_data\PD\processed_0001.wav,processed_0001.wav,PD,1
0.07571392,0.11695688,0.8999939,0.0,0.116956875,0.08119561998906706,0.025567807109011863,5.4768715,4.3996987,18.633305,0.039519317,351200,21.95,1744.3003521414846,1773.7050779671877,3703.325740318907,0.3828197,-94.92282,49.150642,5.698295,-254.02275,98.85632,15.568407,133.14348,36.866135,-15.116905,11.216342,14.721929,-76.27018,-0.75745714,9.156938,26.305792,-29.989101,-17.69738,12.799702,14.41378,-52.179794,-0.8892681,8.728566,24.532604,-20.850117,-5.772178,7.0750546,10.076265,-24.067099,-2.0251315,8.861033,24.922935,-22.70204,5.193505,5.7481017,19.31311,-10.7674885,-17.403997,5.802501,-5.3884897,-37.509064,-14.636915,7.0167623,5.79824,-32.88797,4.2180195,5.2631087,17.345736,-16.433502,-10.842333,5.255636,4.5239935,-23.866505,-0.16464718,3.3381257,-0.066085726,1.9295105,0.056453973,1.5835899,-0.0596269,1.282069,0.114791445,1.4774258,-0.02479476,0.8479736,0.0033873343,1.1073515,0.008485587,0.7260091,0.07069542,1.279555,-0.013994276,1.0030017,-0.0030507292,1.0199734,5.167097e-05,0.74525064,-0.020283889,0.80431855,-0.00081218017,0.6202844,0.021786463,0.83671796,0.005739003,0.5975406,0.004959403,0.7352425,-0.0069568437,0.5161943,-0.010248321,0.86621344,-0.011643507,0.66473746,0.018909955,1.0074805,-0.00730489,0.88214165,-0.0060683964,0.650308,-0.0030293711,0.49621922,0.010939022,0.71383333,-0.000340195,0.5995555,3.4236705,14.323712,291.16467,5.0398157e-06,0.29145375,0.29126534,19.736003251127965,4.131837193571686,0.08250379802690432,0.1719540065653838,151.89137542012548,60.88039164059106,262.95027614778246,51.585221832407484,211.36505431537498,0.2553257008346968,1.0,14.308725,preprocessed_data\PD\processed_0002.wav,processed_0002.wav,PD,1
0.06354787,0.09060673,0.9000244,0.0,0.09060675,0.08634211324464525,0.02856802464134971,3.2858257,1.1678268,17.74419,0.11992708,382400,23.9,1739.2582914317843,1796.5323428226525,3576.9874476987447,0.38105968,-133.73587,29.756186,21.710396,-217.20094,128.83302,22.36518,162.75131,21.170609,-8.4930935,12.60021,21.98007,-76.94942,5.2407846,7.5259576,26.129597,-16.085846,-16.659712,8.193342,3.2482114,-46.86625,-10.6831,7.37535,7.6191516,-33.434067,-12.053888,8.395739,10.039866,-33.066116,-22.478306,9.389862,13.677811,-44.38025,-16.012493,7.0437193,1.573441,-38.19197,-0.41717914,5.5123773,15.725548,-21.740337,4.840511,5.9747324,24.54488,-20.085148,-7.888638,6.1770024,10.136654,-26.653986,-16.249899,6.7149076,1.9904954,-40.89503,-0.09366057,5.093904,0.0067453114,3.6625075,0.22160368,3.66881,0.02186287,2.453571,0.11370429,1.9512222,0.0011707182,1.2777393,0.011289143,1.0314968,0.0015996868,0.7748094,-0.00649191,1.1892167,0.008290322,0.77177596,-0.012840615,0.94254357,0.0064533693,0.58695257,-0.02401224,0.8812515,-0.0014759891,0.6672518,-0.06669057,1.3162421,-0.007706516,1.0098532,-0.012672862,1.0853813,-0.006712394,0.6877356,0.00932398,0.82275593,0.010549711,0.576961,0.052113794,0.78194344,0.0020636194,0.5107325,0.00070081657,0.88549477,-0.0022914757,0.5948987,-0.03522312,1.152397,0.00500672,0.8390429,2.092379,7.156453,144.49294,4.846933e-06,0.33899012,0.2521991,19.380861450621282,4.3229269122972,0.08099538822444204,0.14244851530663885,77.80615790120503,14.684079051678962,101.28166540945955,66.21349416946333,35.06817123999622,0.27591028466820433,1.0,14.42794,preprocessed_data\HC\processed_0001.wav,processed_0001.wav,HC,0
0.10957085,0.16335936,0.8999939,0.0,0.16335934,0.08546517565359477,0.01300586732549107,10.678367,1.9565994,25.198906,2.7738912,391600,24.475,1433.6208526844732,1463.8042845388384,2311.70582226762,0.28317562,-75.101776,23.29294,-12.072613,-156.93999,144.31288,19.54307,181.03192,79.55327,-34.260807,11.947891,-8.300684,-98.336105,-25.766064,6.5656314,-3.197703,-46.356125,-17.540684,8.788568,9.531501,-43.38257,6.061771,4.9296556,36.7716,-3.842962,-11.691567,6.5697446,6.9482555,-33.931004,-15.376346,6.5776935,5.9712677,-32.813362,-1.6981388,3.9163008,10.16215,-13.703076,4.502257,3.6954052,21.063297,-6.8668256,-10.55003,6.8716965,1.401217,-44.38761,-13.9365425,6.164703,6.2558126,-28.34634,-1.8636148,4.102033,16.351862,-12.232018,0.005042606,4.8628902,-0.065141976,4.0622835,0.06767231,3.8693304,-0.006549668,3.3532357,0.052664574,2.443903,-0.013697517,1.9039468,-0.025260864,0.95000553,0.00078558986,0.6835281,-0.03492916,1.8248109,-0.019906767,1.534697,-0.03625691,0.78559065,0.011102088,0.49185577,0.020495016,1.2463275,0.00041833546,1.0134982,-0.018837614,1.1276156,0.0001405398,0.9656885,0.01844312,0.6467824,-0.0021023771,0.519129,-0.025597457,0.5407574,0.0041293297,0.35703954,0.04556954,0.91067696,0.005519008,0.7902064,-0.032166813,1.2149125,-0.007168691,1.0422031,-0.007172571,0.61741185,-0.0017372797,0.5117009,6.693642,20.42048,458.62714,5.535457e-06,0.2783357,0.25526848,18.399430010492658,5.308254295667216,0.09234850666720651,0.14421248695618488,174.59026591233095,43.67630209853849,200.00375206177716,66.34852975406346,133.6552223077137,0.17502426641305152,1.0,14.607071,preprocessed_data\HC\processed_0002.wav,processed_0002.wav,HC,0
0.055948403,0.08587257,0.8999939,0.0,0.08587258,0.07996653717970914,0.014540092992025052,2.9508326,3.9342012,34.80559,0.6254365,369200,23.075,1348.098782424778,1653.2985065946662,2120.2166847237268,0.27550647,-168.25093,38.163036,2.0341778,-247.19342,136.0045,13.7633295,180.24219,98.48062,23.708271,14.443769,57.73644,-38.417892,-20.761753,11.499376,1.8238051,-61.947556,-9.624929,7.109835,4.7558627,-37.392258,-10.044596,8.055387,11.958519,-33.793175,3.6524506,5.449188,25.589703,-8.357407,-14.023516,7.0595517,1.1735346,-38.532722,-15.473021,6.5381374,-1.9954603,-33.465397,-2.6306639,4.842878,16.644413,-18.455627,-7.404278,4.7098327,2.9134507,-22.472202,0.38683587,3.73088,13.211462,-14.823174,-8.945949,4.4166183,0.9876181,-22.645126,-0.07848075,3.8138044,-0.08263948,3.4873366,-0.033653803,1.5975697,-0.026516618,1.7761331,0.04499669,1.1368909,0.01613636,1.0867035,0.057184335,1.4061475,0.024924777,1.2083217,0.026597882,0.885479,0.016392082,0.6603776,-0.016654966,0.86626005,0.00093810016,0.7747853,-0.033821948,0.86776763,-0.0043552397,0.5599203,0.014068038,0.8900216,0.005201678,0.91793823,0.018098483,0.7695857,0.010039657,0.7208676,-0.015122091,0.6897525,0.006989424,0.48653886,0.019755475,0.61854964,0.0052501797,0.5564199,0.005085088,0.5303547,0.0015245802,0.41740176,0.0066801156,0.61653805,0.002676659,0.55282974,1.8927292,9.951348,521.2933,7.685554e-06,0.31900775,0.29007357,17.334241618050925,4.546920986283937,0.056312562789180884,0.1437306265055575,179.57249826622203,27.537598612153126,207.70820430705166,66.46753024220203,141.24067406484963,0.08846453108323206,1.0,11.244626,preprocessed_data\HC\processed_0003.wav,processed_0003.wav,HC,0
0.06448258,0.10608056,0.8999939,0.0,0.106080584,0.05822439292042526,0.014215366126639106,4.5018477,2.3100834,20.55629,0.39291504,397200,24.825,1184.742617138756,1413.8526200524113,1723.2225579053375,0.25083092,-130.41618,34.331833,-9.455027,-238.5626,161.1814,21.202848,214.0815,114.99839,-2.0769074,12.973959,30.760435,-43.93399,-26.051003,8.195506,-2.0087636,-47.61331,-16.113129,3.823538,-1.5911608,-29.878946,-5.852757,4.3466415,9.543972,-21.163292,-8.244297,7.1719594,7.869314,-22.965874,-8.257927,4.8186746,5.314403,-22.343197,-3.8851917,3.2590795,6.130409,-12.667912,-4.4597635,3.8900895,8.06882,-18.05101,-4.80969,4.9791083,10.458409,-18.406816,-6.8193946,3.1754696,3.1504865,-19.512014,-9.735886,4.591064,5.7453747,-27.716532,-0.054895774,4.3849983,-0.09967989,4.5369287,0.02169006,3.4088225,0.008515901,3.3568397,0.038653266,0.88382953,0.01747442,0.6936026,-0.013281973,0.8299083,-0.0008041238,0.8645287,-0.0034298154,0.6280365,-0.009287158,0.50091,0.009912625,0.5641092,0.003813208,0.43923593,0.02956496,0.48250902,-0.0023001279,0.42529848,0.023108434,0.40348887,-0.000250057,0.31869707,-0.010696362,0.45746574,0.0022418352,0.32567954,-0.020601349,0.4138884,-0.0025424769,0.3333524,-0.024167128,0.3933875,-0.0026529112,0.3200139,0.005724384,0.4450086,-0.00438975,0.3021887,0.01642355,0.5504413,0.0042646467,0.57796395,2.9132073,8.547029,263.2669,2.4132842e-05,0.5172056,0.2474334,16.219165720203726,5.0212905705059,0.047005225068242756,0.062044817810620434,71.14132112694611,9.304267986930686,98.88453554602417,66.46189512209577,32.4226404239284,0.19694939146852683,1.0,12.598331,preprocessed_data\HC\processed_0004.wav,processed_0004.wav,HC,0
0.118734665,0.16811205,0.9000244,0.0,0.16811207,0.09082970252403846,0.010699716283123764,11.3093605,4.291163,41.924026,0.7140973,399200,24.95,1396.9341347041545,1476.728630178249,2586.8537074148294,0.29021382,-61.299255,23.578102,9.67121,-169.64824,125.460594,11.985701,154.44618,89.035774,-24.998676,10.188984,0.9092686,-56.870495,-12.34315,6.4678082,10.162382,-29.829208,-36.450848,8.197528,-12.384142,-55.43533,1.0498132,5.835883,27.734955,-18.068035,0.56708187,5.8845677,17.821346,-14.477459,-3.5908704,5.1866717,11.191715,-19.833721,-8.060122,4.7868752,3.9059687,-22.485,-8.031449,5.120199,11.69963,-23.83817,1.0603789,4.2182903,14.371726,-12.531511,-13.402156,4.0092273,-1.0321672,-25.856262,-13.434218,3.7083783,-1.1372569,-28.963543,-0.06370303,3.234811,-0.074353606,1.8898124,0.010717419,1.8419557,-0.026437964,1.4133416,-0.025552694,1.226064,-0.013141671,0.84527767,-0.01196846,1.0369124,0.006721806,0.7179337,0.01636248,0.9978696,0.015078917,0.8706999,-0.027018104,0.8463703,0.0133975055,0.63256866,-0.015660869,0.7494047,0.0034224167,0.58052754,0.0036081183,0.7603125,0.002805317,0.51884335,-0.0075479513,0.71907103,-0.0005805231,0.52182096,0.012653149,0.6792466,-0.00046451367,0.5031651,-0.010158446,0.6464757,0.0068407827,0.49848044,-0.008190036,0.67043495,0.007821232,0.46370715,-0.019914817,0.5804427,0.0015310894,0.44817263,7.2317452,22.740492,601.9851,2.9599036e-05,0.39054316,0.28134558,18.522991217022735,4.571216854453932,0.11824529561348299,0.1310756918293896,107.84054569553463,30.443007246933842,143.57388858605407,65.94921780341149,77.62467078264258,0.3356650558907394,1.0,12.305068,preprocessed_data\HC\processed_0005.wav,processed_0005.wav,HC,0
0.1636337,0.21974911,0.8999939,0.0,0.21974912,0.11580212823275862,0.013209781452878858,19.318726,4.510433,36.29422,2.8351355,370800,23.175,1573.5971466757442,1629.954487727966,2997.842502696871,0.2993628,-57.45111,23.858286,-4.061483,-152.27055,128.26134,13.924897,161.26056,99.95979,-17.07911,5.261105,-4.527056,-32.456444,-28.253477,4.700557,-13.337545,-43.646248,-29.810568,9.296772,-6.963274,-55.650444,-3.6456256,5.9330378,11.577247,-18.525932,-2.5830636,5.329716,10.657032,-17.399618,-22.689991,8.517771,-4.0817327,-43.28466,-2.182061,2.9447708,7.523759,-15.860624,4.690279,2.7583773,11.981603,-4.090762,3.2366767,2.5136535,10.648163,-5.4941115,1.1656461,3.7114062,14.757071,-9.87493,-21.736206,7.378111,-4.8698635,-43.23117,0.05221398,2.355227,-0.06439323,3.4630396,-0.027837545,1.3875302,0.0034723156,2.1134238,0.01893454,0.8831225,-0.010348558,0.55544883,0.00030688714,0.51092786,-0.010104474,0.6711217,0.023087414,1.1400609,-0.021917203,1.3155445,-0.014013341,0.6866162,-2.1984824e-05,0.7458968,-0.021298917,0.68894523,0.005499198,0.539928,0.016623313,0.7638648,-0.0113625,1.2874341,0.0021953895,0.41943225,-0.003721903,0.33096498,0.004423995,0.39301488,-0.0045249737,0.34005865,-0.0025944805,0.37425646,-0.0035676868,0.30446175,0.0012961172,0.37137428,-0.005489828,0.39774472,0.015054406,0.6100411,-0.008998823,1.1600484,11.683789,39.904335,629.0644,0.00013392286,0.28321248,0.318617,17.541209017551587,5.7321169040879765,0.03426326563430685,0.1356963925797083,212.09826215805583,12.478383505457046,219.6921246552455,50.831603954149266,168.86052070109622,0.028693169804193504,1.0,17.056665,preprocessed_data\HC\processed_0006.wav,processed_0006.wav,HC,0
0.13076572,0.1794887,0.8999939,0.0,0.17948875,0.08420146132343125,0.01777012310708742,12.889029,8.618953,62.306606,2.8446379,383200,23.95,1349.7048029442583,1526.4519912780363,2213.3611691022966,0.2829141,-84.05586,29.88396,10.038425,-182.25606,135.20993,15.357154,182.23065,97.72565,-2.054198,10.039401,24.328499,-28.923775,-18.330986,7.6998363,5.4450045,-43.101894,-18.958532,7.286595,0.5743904,-43.072456,9.691416,6.3856897,27.043612,-12.099718,0.49992818,5.524602,17.336506,-15.988963,-2.3602123,4.8942523,7.9480705,-23.265337,0.2416031,5.740129,15.473901,-18.34123,-11.203297,6.519623,5.7776327,-27.259174,-8.976926,4.0782094,2.042617,-20.893635,-10.417721,6.123528,6.3430667,-27.649889,-2.9590547,5.7404957,16.806772,-19.94278,0.057503164,3.7169285,-0.10533737,2.493372,-0.033845052,2.4730208,-0.0007500986,2.0312042,0.029934388,1.2440736,-0.009474596,0.61617625,0.028731043,1.0850459,0.00072063593,0.50091445,-0.006177484,1.0821099,0.012203102,0.6670992,-0.011511272,1.070383,-0.0050486033,0.7669479,-0.0012819407,0.6390282,-0.008907624,0.42237526,0.0032375727,0.6716948,0.0005520075,0.41217923,-0.005581477,0.9564043,0.004636901,0.6336069,-0.020798858,0.87818766,0.0080382405,0.44553372,-0.0015405118,0.5551635,-0.0064380527,0.37165695,0.015164389,0.667213,-0.010618886,0.44250065,0.009986384,0.7011686,-0.001978026,0.40219688,8.33632,38.581875,1789.3997,7.965819e-05,0.32065657,0.32645163,16.93338763089622,5.3550784870314185,-0.019206063463405525,0.06172733927629988,240.52134125001305,7.948978535593038,256.7082714676842,66.60042381063798,190.10784765704622,0.025772870027989867,1.0,15.134016,preprocessed_data\HC\processed_0007.wav,processed_0007.wav,HC,0
0.0816737,0.12595926,0.8999939,0.0,0.12595926,0.1124523591850304,0.020454214708714485,6.3515267,3.6173675,19.902456,0.5328797,336800,21.05,1440.0616726435128,1511.9261892280579,2343.230403800475,0.26884103,-116.297386,34.95019,-13.146375,-184.32979,137.77017,17.189402,169.1838,93.33201,-19.51183,10.659906,3.0926492,-55.71039,-40.378914,10.237044,-18.770493,-65.26477,-28.821331,8.978369,-3.4708462,-51.09896,-5.0570064,6.56536,24.928776,-19.043568,7.98222,5.226919,26.812767,-3.8166065,-18.090698,8.746232,0.8960578,-43.122784,-9.20533,4.2869344,2.8362315,-21.60979,2.7150986,4.6009,22.59606,-9.86878,-10.644158,6.2020235,3.2651675,-29.467916,-3.593333,3.3150868,6.470928,-14.897217,-8.173723,4.5320487,1.922377,-22.630566,-0.12849957,5.967051,-0.06583743,5.0060067,0.009669226,3.6438396,-0.009460807,3.1222699,0.06296962,1.5258111,-0.00793585,0.84107935,0.012813117,2.176197,-0.016907163,1.7230122,0.022590574,1.7348219,-0.0068636215,1.5017776,0.0021328419,1.0200692,-0.0042463415,0.7983825,0.0010439327,1.0310826,-0.009321414,0.8116917,0.019581027,1.6831592,0.0032798664,1.440715,-0.0031289754,0.73864186,-0.0034879895,0.62379926,0.0014129714,0.7279284,-0.00709821,0.5600989,0.02958943,1.314213,-0.0044219024,1.1261373,-0.0025561466,0.5680362,-0.0033827212,0.46850464,0.011891075,0.9116553,0.003184904,0.7384987,3.9721081,12.603925,241.18964,1.4128478e-05,0.33095878,0.28099748,18.46641700677224,4.986311691048109,0.07421500748731656,0.14698360739742827,190.88690344223656,15.01534127058644,198.89641323413477,66.42203816855778,132.474375065577,0.045827998614002954,1.0,14.476086,preprocessed_data\HC\processed_0008.wav,processed_0008.wav,HC,0
