feature,f_score
mdvp_fhi,585.0761367254391
ste_mean,581.7657953286933
f0_range,301.4423403332492
spectral_flux_mean,252.72557936723956
ste_std,148.19948786259673
mfcc_3_mean,133.60195270113172
spectral_rolloff_mean,52.71028369830459
mfcc_10_mean,52.00889799856027
mfcc_4_mean,51.014467428374985
spectral_spread_mean,49.308053116260346
ste_max,38.46057968957061
hnr,31.532656054229403
spectral_centroid_mean,29.828884389410845
spectral_flux_std,28.83308983532566
nhr,24.588573402990487
energy_entropy,22.881522050003692
num_periods,22.675666955244555
num_amplitudes,22.675666955244555
zcr_max,22.655221106655233
num_voiced_frames,21.599522678832063
mfcc_2_std,20.512993421611014
spectral_spread_std,19.937267072579626
spectral_centroid_std,18.989758757204125
ppe,18.211380046142686
spectral_rolloff_std,18.074550630979267
mfcc_12_mean,17.566467350490097
mfcc_4_std,16.993049159334458
mfcc_5_mean,15.429762825731558
mfcc_2_mean,13.128494060131686
f0_std,12.050119311561991
spread1,12.050119311561991
mfcc_6_std,10.60858022228177
mfcc_11_mean,10.441801546688039
mfcc_3_std,10.05464275934561
mfcc_13_mean,9.3519521721233
d2,9.228002832786705
f0_cv,9.228002832786695
mfcc_8_mean,9.103697996772889
spectral_entropy_std,7.887466242860431
mfcc_1_std,7.3831729245749536
mfcc_7_std,7.352926609887787
zcr_std,6.996812000261466
mfcc_1_mean,6.97633944280572
spread2,6.114083881907624
voiced_ratio,5.871235034914551
mfcc_8_std,5.372254868169522
mdvp_fo,5.302384115220515
mfcc_5_std,5.126217611075545
dfa,4.9801028133979965
mfcc_9_mean,4.029819379107957
mfcc_9_std,3.6985403620303967
ste_min,3.0884322401601874
zcr_min,3.0086572327325842
shimmer_apq3,2.751984765481322
mfcc_13_std,2.7348335559704395
rpde,2.5797672618705665
mfcc_7_mean,2.423758720670878
shimmer_apq5,2.257566959729644
mdvp_apq,2.257566959729644
spectral_entropy_mean,2.191428034103126
zcr_mean,2.028472109769305
mfcc_10_std,1.8591297822036983
mfcc_6_mean,1.6565296677539365
jitter_ddp,1.5825998481810222
mdvp_ppq,1.2471617299181557
mdvp_rap,1.1827511461850517
mdvp_jitter_percent,1.1083519080411994
shimmer_dda,0.6900950359058716
mdvp_flo,0.543527884286119
mfcc_12_std,0.5342472518210758
mdvp_jitter_abs,0.48566041486532463
mdvp_shimmer_db,0.3550632985982809
mdvp_shimmer_percent,0.33603432686057016
mfcc_11_std,0.031478929275101285
