feature,importance
mfcc_3_mean,0.3550998116620163
mfcc_10_mean,0.19685289570054473
spectral_centroid_std,0.13931341855123355
spectral_flux_mean,0.07887842433463634
mfcc_12_mean,0.06391178915900815
spectral_flux_std,0.0413073807359911
spread2,0.032893840279088336
ste_std,0.020549104153552652
mfcc_1_mean,0.016867401972165096
mdvp_fo,0.012895291093130236
hnr,0.00985620213251593
mfcc_5_std,0.007725147731650775
ppe,0.005955170945479619
spectral_centroid_mean,0.004649909070500368
mfcc_11_mean,0.0037276317526986555
f0_std,0.0028839068013569668
spectral_spread_mean,0.002766563936787438
f0_range,0.001644572780529237
ste_max,0.0009757295828691764
spectral_rolloff_mean,0.0005883387284525411
spectral_spread_std,0.000340900353344583
mfcc_13_mean,0.00015934527320430561
mdvp_fhi,9.166405528452032e-05
mfcc_4_mean,2.4076821990222922e-05
ste_mean,1.8814136123924e-05
mfcc_7_std,6.399733772144703e-06
mfcc_4_std,5.064582860308298e-06
zcr_mean,2.2591937810279056e-06
f0_cv,1.4861660990530698e-06
mfcc_3_std,1.0645913232965752e-06
ste_min,9.256744108102381e-07
d2,9.238913831790563e-07
energy_entropy,7.714822703192955e-07
zcr_max,7.141936705568202e-07
nhr,6.813645770778687e-07
shimmer_apq3,6.050082684852274e-07
mfcc_2_std,5.601876928643057e-07
spread1,4.1568627706146366e-07
voiced_ratio,2.7357910178330194e-07
shimmer_apq5,1.8484285134010167e-07
zcr_std,1.7174490418245016e-07
num_amplitudes,1.2235383680931198e-07
mfcc_2_mean,2.299907251456215e-08
mfcc_5_mean,2.0518002419646545e-08
num_periods,3.333151563098924e-10
spectral_entropy_mean,9.038766853991574e-11
rpde,3.032911003050101e-11
mfcc_1_std,6.832033477857562e-12
spectral_entropy_std,8.00147564755731e-13
mdvp_apq,2.4405999618433087e-14
mfcc_6_std,1.2989440274486257e-15
mdvp_shimmer_db,0.0
jitter_ddp,0.0
mdvp_ppq,0.0
mdvp_rap,0.0
mdvp_jitter_abs,0.0
mdvp_jitter_percent,0.0
mdvp_shimmer_percent,0.0
spectral_rolloff_std,0.0
shimmer_dda,0.0
mdvp_flo,0.0
dfa,0.0
mfcc_8_std,0.0
mfcc_6_mean,0.0
mfcc_7_mean,0.0
mfcc_8_mean,0.0
mfcc_11_std,0.0
mfcc_10_std,0.0
mfcc_9_mean,0.0
mfcc_9_std,0.0
mfcc_12_std,0.0
mfcc_13_std,0.0
zcr_min,0.0
num_voiced_frames,0.0
