feature,mi_score
num_voiced_frames,0.9493408824291181
mfcc_3_mean,0.9414043744926102
spectral_centroid_std,0.7838881253096943
num_amplitudes,0.7518100182315872
mfcc_4_mean,0.7302491716707407
mfcc_10_mean,0.7302271258153614
mdvp_fo,0.7236795067677426
ste_mean,0.7171980252862611
voiced_ratio,0.7081192953741975
spectral_spread_std,0.694755344510247
mfcc_1_mean,0.6650182606064963
spectral_rolloff_mean,0.6261706884255906
nhr,0.605866455621358
spectral_rolloff_std,0.5981077020292709
energy_entropy,0.5950198947747971
hnr,0.5818585191134216
mfcc_2_std,0.5659207531756554
ste_max,0.5637588718471076
mfcc_12_mean,0.5469158383374071
spectral_entropy_std,0.5459499832048857
ste_std,0.5440498771381128
mfcc_11_mean,0.516713016467919
spectral_flux_mean,0.5162941452157144
mdvp_fhi,0.512899083487319
mfcc_3_std,0.5049625755508114
spectral_spread_mean,0.5024273021822045
spectral_flux_std,0.49438056496880045
f0_cv,0.4871455160670852
f0_range,0.48651019459843026
zcr_max,0.48602657328147547
spectral_entropy_mean,0.4780928403477427
mdvp_shimmer_db,0.47339368148191685
spectral_centroid_mean,0.4703285367501058
mfcc_4_std,0.4642218348100704
mfcc_13_mean,0.4618849741398765
d2,0.4578245284127642
mfcc_2_mean,0.450487266908836
num_periods,0.43113100588590836
mfcc_8_std,0.42134542110032314
zcr_std,0.41464348106505033
zcr_mean,0.4121703369252392
ste_min,0.4008620464502821
f0_std,0.39797820189977084
mfcc_5_mean,0.3957433996649684
mfcc_5_std,0.3903201192416881
spread2,0.38818984211141117
mdvp_shimmer_percent,0.37729579788403345
mfcc_1_std,0.3544101958317647
mfcc_9_std,0.3433892723108416
mfcc_6_std,0.3401477607359964
ppe,0.3147709770258793
mfcc_7_std,0.3130120877669902
spread1,0.2979541518757207
zcr_min,0.2914099244981603
dfa,0.26611176586666807
mfcc_9_mean,0.2652573733456087
shimmer_apq3,0.25725133617290474
mfcc_13_std,0.243454022375591
jitter_ddp,0.20137912196735774
rpde,0.18485074293897785
shimmer_dda,0.15145466370956617
mfcc_8_mean,0.1488366027581718
mfcc_10_std,0.12814880290370545
mdvp_apq,0.09529986172143046
mdvp_flo,0.08571793130616712
shimmer_apq5,0.07156464631954851
mdvp_jitter_abs,0.041504582926151556
mfcc_11_std,0.03982709374866289
mfcc_7_mean,0.02515395824219402
mfcc_12_std,0.0020865935081628706
mdvp_ppq,0.0
mdvp_rap,0.0
mdvp_jitter_percent,0.0
mfcc_6_mean,0.0
