feature,importance
mfcc_3_mean,0.07730401351328543
spectral_centroid_std,0.05052874934526203
mdvp_fo,0.0492163379860078
spectral_rolloff_mean,0.04873593599783723
energy_entropy,0.04784029874235051
d2,0.035157783141428804
spectral_spread_mean,0.032554595526780486
mfcc_4_mean,0.026971070097177446
spectral_spread_std,0.0269561609338954
mfcc_2_std,0.026158130880714968
spectral_flux_std,0.025021053712642502
nhr,0.024621497314566622
spectral_entropy_std,0.023341409054825797
mfcc_10_mean,0.022775524294902604
mfcc_4_std,0.022237352966845026
mfcc_1_mean,0.020824129141886152
num_amplitudes,0.020506163617966932
spectral_centroid_mean,0.01977357980226491
f0_range,0.018329707986879506
voiced_ratio,0.016925545604958372
mfcc_13_mean,0.01501887411191566
spread1,0.014935064935064935
shimmer_apq3,0.01425614738735864
mfcc_5_mean,0.01354020979020979
zcr_max,0.013207094307561595
ste_std,0.012877566589975213
f0_std,0.01274724985728088
spectral_rolloff_std,0.012236080750932236
ste_min,0.01214013709063214
zcr_min,0.011814436792916874
mfcc_11_mean,0.011775700934579438
shimmer_dda,0.011314329235121314
f0_cv,0.010224299065420559
num_periods,0.010008833271991167
zcr_std,0.009912098297586065
mfcc_6_std,0.009867796962762639
ppe,0.00966053748231966
mdvp_fhi,0.009545454545454544
num_voiced_frames,0.009488492284220397
ste_max,0.00904842820730671
mfcc_7_std,0.00864935064935065
ste_mean,0.008319397993311035
dfa,0.007717482517482518
spread2,0.0074384527556423065
mdvp_jitter_percent,0.006803827751196174
mdvp_shimmer_percent,0.006701100879318701
mfcc_5_std,0.006653846153846153
hnr,0.006303645785139261
rpde,0.006280056577086281
spectral_entropy_mean,0.005846153846153846
spectral_flux_mean,0.005412064570943075
mfcc_7_mean,0.005000000000000001
shimmer_apq5,0.004757712037102103
mfcc_8_std,0.004395604395604396
mdvp_apq,0.004285714285714286
mfcc_10_std,0.004153846153846154
mfcc_12_std,0.004153846153846154
mfcc_2_mean,0.003993016329464928
zcr_mean,0.0039603960396039604
mfcc_3_std,0.003636363636363636
mdvp_ppq,0.003571428571428571
mdvp_shimmer_db,0.0031460128656390345
mfcc_12_mean,0.0029473684210526317
mfcc_9_std,0.0024999999999999996
mdvp_rap,0.0024369785293136053
mfcc_13_std,0.0015384615384615385
jitter_ddp,0.0
mdvp_jitter_abs,0.0
mfcc_1_std,0.0
mdvp_flo,0.0
mfcc_11_std,0.0
mfcc_9_mean,0.0
mfcc_6_mean,0.0
mfcc_8_mean,0.0
