feature,f_score
ste_mean,514.7462944967547
stft_energy_mean,514.7462944967547
dct_energy_mean,514.7462944965954
spectral_flux_mean,130.92020757768472
nhr,79.19629620548336
mdvp_fo,25.53798421499193
zcr_mean,21.4865697548077
mfcc_3_mean,20.04893893143605
spectral_entropy_mean,18.35117236989903
mdvp_fhi,18.111111111111146
mfcc_6_std,17.94219610870503
mdvp_flo,12.52188082255629
mfcc_4_mean,12.084402140577408
spectral_centroid_mean,12.056211811325849
mfcc_2_mean,11.882900877430101
mfcc_13_mean,10.972078771502227
ste_std,9.795714347643514
mfcc_8_mean,9.384158980849657
mfcc_2_std,8.86602176528764
zcr_std,8.652998441507489
spectral_entropy_std,8.445629146947566
mfcc_7_std,6.4087303412814896
mfcc_1_std,6.403023238493486
shimmer_dda,5.643285205229857
mdvp_shimmer_db,4.313321722942563
ppe,3.8553907404960412
mfcc_4_std,3.7841383647945617
mdvp_shimmer_percent,3.684002978551195
mfcc_1_mean,3.371386192384989
mfcc_3_std,3.2699811181109517
spectral_rolloff_mean,3.07024236402677
dfa,3.0035233438241598
mfcc_5_std,2.9878483619381715
mdvp_apq,2.974165608509208
shimmer_apq5,2.974165608509208
shimmer_apq3,2.7899435921972295
mfcc_10_std,2.610510417368523
mfcc_5_mean,2.5518131056726
mfcc_9_mean,2.009875415709423
f0_range,1.8613291334445439
hnr,1.8509059316962124
mfcc_10_mean,1.6400628563651594
mdvp_jitter_abs,1.4092412414942703
mfcc_12_std,1.3139531354238463
mdvp_rap,1.2016583335770856
mdvp_jitter_percent,1.1879928133925373
jitter_ddp,1.046790166608315
mfcc_11_std,0.9627157531653286
mfcc_9_std,0.8537286187657107
mdvp_ppq,0.8356158316023693
f0_std,0.7024240939057305
spread1,0.7024240939057305
f0_cv,0.6855664684190829
d2,0.685566468419082
mfcc_13_std,0.6428848601345097
spread2,0.5955672084392586
rpde,0.5675895111342931
mfcc_7_mean,0.5177233082118835
mfcc_6_mean,0.38641781865746055
mfcc_11_mean,0.2790124253968633
spectral_spread_mean,0.2119473264685692
mfcc_8_std,0.20885910481981268
mfcc_12_mean,0.030846362123293156
