feature,importance
mfcc_13_std,0.24276694590057402
mfcc_4_std,0.1564475864104077
mfcc_5_mean,0.12604920971107578
mdvp_fhi,0.09206484644182578
spectral_entropy_std,0.07458378598226324
mfcc_12_mean,0.04473548000762454
f0_std,0.035680286736898166
zcr_std,0.029826828324374353
shimmer_apq5,0.02934085732466562
mfcc_1_std,0.027996462701124405
mfcc_1_mean,0.02474257346299103
mfcc_10_mean,0.02469460554335934
hnr,0.022085789869211243
nhr,0.019649884883992316
spectral_entropy_mean,0.013490304226609512
spread1,0.01048973966645832
mfcc_3_mean,0.0074984753077598975
mfcc_4_mean,0.003787017812906523
mfcc_2_std,0.0033853060110569846
ste_mean,0.0029616698144526985
jitter_ddp,0.0029396709952001117
mfcc_3_std,0.0017459145208849132
mdvp_shimmer_db,0.0013905907406331517
mfcc_7_mean,0.0007928703277894312
d2,0.00046848512603927275
ppe,0.00017388293513923584
rpde,0.00012479064035840213
f0_range,5.649254937258678e-05
mdvp_ppq,1.44380979602717e-05
spectral_centroid_mean,8.743502609458058e-06
spread2,2.3273264890808027e-06
mfcc_7_std,1.3545220655390092e-06
dct_energy_mean,1.1318160608940652e-06
shimmer_apq3,7.3186975994717e-07
mdvp_jitter_abs,4.666581756748233e-07
spectral_flux_mean,3.5950433218339846e-07
shimmer_dda,7.215648260071137e-08
dfa,1.1567395691577671e-08
mfcc_9_std,8.547276893278705e-09
mdvp_apq,4.5491291573401024e-10
mfcc_11_mean,9.868798923990675e-13
ste_std,4.434338653995713e-13
f0_cv,0.0
mdvp_shimmer_percent,0.0
mdvp_rap,0.0
mdvp_jitter_percent,0.0
mdvp_fo,0.0
zcr_mean,0.0
mdvp_flo,0.0
mfcc_5_std,0.0
stft_energy_mean,0.0
spectral_spread_mean,0.0
mfcc_2_mean,0.0
spectral_rolloff_mean,0.0
mfcc_6_std,0.0
mfcc_9_mean,0.0
mfcc_8_std,0.0
mfcc_8_mean,0.0
mfcc_6_mean,0.0
mfcc_11_std,0.0
mfcc_10_std,0.0
mfcc_12_std,0.0
mfcc_13_mean,0.0
