feature,rf_score,gb_score,f_score,mi_score,aggregate_score
mfcc_8_mean,0.5108359133126935,1.0,0.07199804543210225,0.912280701754386,0.6501065234311056
mfcc_7_std,0.7399380804953559,0.29888747036371904,0.5120938046518955,1.0,0.6140664261881016
spectral_flux_mean,0.7492260061919505,0.09914568372319782,1.0,0.47368421052631576,0.5492483490798077
stft_energy_mean,0.7430340557275542,0.0,0.8905535645716806,0.035087719298245605,0.40803847349225153
mfcc_5_mean,0.49226006191950467,0.5677272021714782,0.01192471206062834,0.3128654970760234,0.3829542210546252
mfcc_13_mean,0.6130030959752322,0.005688438346084586,0.03773853290392119,0.912280701754386,0.37561130722805647
zcr_std,1.0,0.13359737469867158,0.013572798828699207,0.09356725146198833,0.36150722246773903
ste_mean,0.393188854489164,0.01667851705236828,0.8905535645716806,0.29824561403508765,0.36072004718381334
mfcc_9_mean,0.663157894736842,0.15272929527560974,0.02680872967915826,0.5029239766081871,0.3507126982612046
spectral_entropy_std,0.6006191950464397,0.3323590512593906,0.013348079384306535,0.15204678362573104,0.3129724464937566
mdvp_fo,0.2043343653250774,0.4969922108642734,0.005284945889887181,0.41520467836257313,0.29449589770729734
mfcc_4_std,0.1021671826625387,0.40637912410571336,0.06862132079242382,0.5614035087719298,0.27856885794334635
mfcc_11_mean,0.5455108359133127,0.3062182109466468,0.0020540131010492683,0.1023391812865497,0.2763973529355077
spectral_entropy_mean,0.5851393188854488,0.060697044043085915,0.02963232690276907,0.3567251461988304,0.2710224034988803
mfcc_3_mean,0.3467492260061919,0.11846248260932117,0.015597417724442413,0.5321637426900586,0.24911574466755415
dct_energy_mean,0.15789473684210525,0.04610665492794684,0.8905535645716806,0.035087719298245605,0.24632867430500086
mfcc_1_std,0.1981424148606811,0.12609696877883586,0.011500321234778907,0.6491228070175439,0.22939644074231966
mfcc_9_std,0.7430340557275542,3.849704102016008e-08,0.0025777810566468954,0.0,0.22342578447870792
mfcc_2_std,0.5727554179566563,0.006952072911914877,0.008222388099036585,0.19590643274853803,0.2147380114300863
f0_std,0.6222910216718267,0.0,0.0007794903983261604,0.12280701754385968,0.21140460808998518
zcr_mean,0.5040247678018577,2.6880053891247292e-09,0.036360843955175214,0.12280701754385957,0.18304100344676588
mfcc_6_std,0.544891640866873,0.0,0.0032653936589645016,0.0,0.16412057099185481
