feature,importance
zcr_std,0.04893939393939394
spectral_flux_mean,0.03666666666666667
stft_energy_mean,0.03636363636363637
mfcc_9_std,0.03636363636363637
mfcc_7_std,0.03621212121212121
mfcc_9_mean,0.03245454545454545
f0_std,0.03045454545454546
mfcc_13_mean,0.03
spectral_entropy_std,0.029393939393939396
spectral_entropy_mean,0.028636363636363633
mfcc_2_std,0.028030303030303027
mfcc_11_mean,0.026696969696969698
mfcc_6_std,0.026666666666666665
mfcc_8_mean,0.025
shimmer_apq5,0.025
zcr_mean,0.024666666666666674
mfcc_5_mean,0.024090909090909093
f0_range,0.02378787878787879
nhr,0.02333333333333333
ste_std,0.02
rpde,0.0196969696969697
shimmer_apq3,0.019545454545454546
ste_mean,0.01924242424242424
mfcc_5_std,0.01772727272727273
mfcc_3_mean,0.016969696969696968
mfcc_1_mean,0.01693939393939394
mfcc_10_std,0.016666666666666666
spectral_rolloff_mean,0.016363636363636365
hnr,0.016212121212121212
mfcc_12_std,0.01409090909090909
mfcc_7_mean,0.013636363636363637
ppe,0.013636363636363636
mdvp_shimmer_percent,0.013333333333333334
mdvp_ppq,0.013333333333333332
mdvp_shimmer_db,0.01227272727272727
mfcc_11_std,0.010303030303030303
mfcc_6_mean,0.010303030303030303
mdvp_fo,0.01
d2,0.01
mdvp_rap,0.01
mdvp_jitter_abs,0.01
mfcc_10_mean,0.00981818181818182
spectral_spread_mean,0.009696969696969697
mfcc_1_std,0.009696969696969697
mdvp_apq,0.008969696969696968
mdvp_flo,0.008333333333333333
dct_energy_mean,0.007727272727272727
f0_cv,0.007272727272727272
spectral_centroid_mean,0.006363636363636365
mfcc_3_std,0.006363636363636365
mfcc_4_mean,0.006363636363636365
dfa,0.006363636363636365
mfcc_4_std,0.005
shimmer_dda,0.00409090909090909
spread2,0.003636363636363636
mfcc_13_std,0.003636363636363636
mfcc_12_mean,0.003636363636363636
jitter_ddp,0.0
mdvp_fhi,0.0
spread1,0.0
mdvp_jitter_percent,0.0
mfcc_2_mean,0.0
mfcc_8_std,0.0
