feature,mean,std,count,rank
d2,0.03676470588235294,0.05199314567548144,2,1
dfa,0.03676470588235294,0.05199314567548144,2,2
f0_cv,0.03676470588235294,0.05199314567548144,2,3
shimmer_apq,0.03676470588235294,0.05199314567548144,2,4
shimmer_apq3,0.03676470588235294,0.05199314567548144,2,5
f0_min,0.029411764705882353,0.04159451654038515,2,6
jitter_rap,0.029411764705882353,0.04159451654038515,2,7
spread2,0.029411764705882353,0.04159451654038515,2,8
f0_std,0.029411764705882353,0.04159451654038515,2,9
jitter_abs,0.02626050420168067,0.03713796119677245,2,10
shimmer_apq5,0.022058823529411766,0.031195887405288864,2,11
f0_range,0.022058823529411766,0.031195887405288864,2,12
jitter_ppq,0.014705882352941176,0.020797258270192576,2,13
jitter_percent,0.014705882352941176,0.020797258270192576,2,14
zcr_std,0.014705882352941176,0.020797258270192576,2,15
zcr_mean,0.014705882352941176,0.020797258270192576,2,16
shimmer_db,0.01050420168067227,0.014855184478708983,2,17
rpde,0.01050420168067227,0.014855184478708983,2,18
voiced_ratio,0.007352941176470588,0.010398629135096288,2,19
spread1,0.007352941176470588,0.010398629135096288,2,20
f0_max,0.007352941176470588,0.010398629135096288,2,21
hnr,0.007352941176470588,0.010398629135096288,2,22
shimmer_dda,0.007352941176470588,0.010398629135096288,2,23
nhr,0.004201680672268907,0.005942073791483592,2,24
jitter_ddp,0.004084967320261438,0.005777016186164605,2,25
f0_mean,0.00326797385620915,0.004621612948931683,2,26
ppe,0.0,0.0,2,27
shimmer_percent,0.0,0.0,2,28
ste_mean,0.0,0.0,2,29
ste_std,0.0,0.0,2,30
