feature,importance,model
shimmer_apq,0.07352941176470588,RandomForest
shimmer_apq3,0.07352941176470588,RandomForest
dfa,0.07352941176470588,RandomForest
f0_cv,0.07352941176470588,RandomForest
d2,0.07352941176470588,RandomForest
jitter_rap,0.058823529411764705,RandomForest
f0_std,0.058823529411764705,RandomForest
f0_min,0.058823529411764705,RandomForest
spread2,0.058823529411764705,RandomForest
jitter_abs,0.05252100840336134,RandomForest
shimmer_apq5,0.04411764705882353,RandomForest
f0_range,0.04411764705882353,RandomForest
jitter_ppq,0.029411764705882353,RandomForest
jitter_percent,0.029411764705882353,RandomForest
zcr_std,0.029411764705882353,RandomForest
zcr_mean,0.029411764705882353,RandomForest
shimmer_db,0.02100840336134454,RandomForest
rpde,0.02100840336134454,RandomForest
hnr,0.014705882352941176,RandomForest
shimmer_dda,0.014705882352941176,RandomForest
f0_max,0.014705882352941176,RandomForest
spread1,0.014705882352941176,RandomForest
voiced_ratio,0.014705882352941176,RandomForest
nhr,0.008403361344537815,RandomForest
jitter_ddp,0.008169934640522876,RandomForest
f0_mean,0.0065359477124183,RandomForest
shimmer_percent,0.0,RandomForest
ppe,0.0,RandomForest
ste_mean,0.0,RandomForest
ste_std,0.0,RandomForest
jitter_percent,0.0,XGBoost
jitter_abs,0.0,XGBoost
jitter_rap,0.0,XGBoost
jitter_ppq,0.0,XGBoost
jitter_ddp,0.0,XGBoost
shimmer_percent,0.0,XGBoost
shimmer_db,0.0,XGBoost
shimmer_apq3,0.0,XGBoost
shimmer_apq5,0.0,XGBoost
shimmer_apq,0.0,XGBoost
shimmer_dda,0.0,XGBoost
hnr,0.0,XGBoost
nhr,0.0,XGBoost
f0_mean,0.0,XGBoost
f0_std,0.0,XGBoost
f0_min,0.0,XGBoost
f0_max,0.0,XGBoost
f0_range,0.0,XGBoost
f0_cv,0.0,XGBoost
rpde,0.0,XGBoost
d2,0.0,XGBoost
dfa,0.0,XGBoost
spread1,0.0,XGBoost
spread2,0.0,XGBoost
ppe,0.0,XGBoost
ste_mean,0.0,XGBoost
ste_std,0.0,XGBoost
zcr_mean,0.0,XGBoost
zcr_std,0.0,XGBoost
voiced_ratio,0.0,XGBoost
